iter	Passed	Remaining
640	1317	737
641	1319	735
642	1321	733
643	1323	731
644	1324	729
645	1326	726
646	1327	724
647	1328	721
648	1330	719
649	1331	716
650	1333	714
651	1335	712
652	1337	710
653	1338	708
654	1340	705
655	1341	703
656	1343	701
657	1344	698
658	1345	696
659	1347	694
660	1350	692
661	1351	690
662	1353	687
663	1354	685
664	1356	683
665	1357	680
666	1358	678
667	1360	676
668	1361	673
669	1363	671
670	1365	669
671	1367	667
672	1368	665
673	1370	662
674	1371	660
675	1372	657
676	1374	655
677	1375	653
678	1376	650
679	1379	649
680	1380	646
681	1382	644
682	1383	642
683	1385	639
684	1386	637
685	1387	635
686	1389	632
687	1390	630
688	1392	628
689	1394	626
690	1395	624
691	1397	621
692	1398	619
693	1400	617
694	1402	615
695	1413	617
696	1416	615
697	1418	613
698	1420	611
699	1422	609
700	1424	607
701	1427	606
702	1430	604
703	1432	602
704	1433	599
705	1435	597
706	1436	595
707	1438	593
708	1440	591
709	1441	588
710	1453	590
711	1455	588
712	1458	587
713	1459	584
714	1461	582
715	1462	580
716	1464	577
717	1465	575
718	1467	573
719	1468	571
720	1470	568
721	1471	566
722	1473	564
723	1474	562
724	1475	559
725	1477	557
726	1478	555
727	1479	552
728	1481	550
729	1483	548
730	1484	546
731	1486	544
732	1488	542
733	1489	539
734	1491	537
735	1492	535
736	1494	533
737	1495	530
738	1496	528
739	1498	526
740	1499	524
741	1501	521
742	1502	519
743	1503	517
744	1505	515
745	1506	512
746	1507	510
747	1509	508
748	1510	506
749	1511	503
750	1513	501
751	1515	499
752	1516	497
753	1517	495
754	1518	492
755	1520	490
756	1521	488
757	1522	486
758	1524	484
759	1525	481
760	1526	479
761	1528	477
762	1530	475
763	1531	473
764	1533	470
765	1534	468
766	1535	466
767	1536	464
768	1537	461
769	1539	459
770	1540	457
771	1541	455
772	1543	453
773	1545	451
774	1546	448
775	1547	446
776	1549	444
777	1550	442
778	1551	440
779	1552	437
780	1554	435
781	1555	433
782	1556	431
783	1558	429
784	1559	427
785	1561	425
786	1562	422
787	1563	420
788	1565	418
789	1566	416
790	1567	414
791	1569	412
792	1570	409
793	1571	407
794	1572	405
795	1574	403
796	1575	401
797	1577	399
798	1578	397
799	1580	395
800	1581	392
801	1582	390
802	1583	388
803	1585	386
804	1586	384
805	1587	382
806	1589	380
807	1591	378
808	1592	375
809	1593	373
810	1595	371
811	1596	369
812	1597	367
813	1598	365
814	1600	363
815	1601	361
816	1602	359
817	1604	356
818	1605	354
819	1607	352
820	1608	350
821	1610	348
822	1611	346
823	1612	344
824	1613	342
825	1614	340
826	1616	338
827	1617	335
828	1618	333
829	1620	331
830	1621	329
831	1623	327
832	1624	325
833	1626	323
834	1627	321
835	1628	319
836	1629	317
837	1631	315
838	1632	313
839	1633	311
840	1635	309
841	1636	307
842	1637	305
843	1639	302
844	1640	300
845	1641	298
846	1643	296
847	1644	294
848	1645	292
849	1647	290
850	1648	288
851	1650	286
852	1651	284
853	1652	282
854	1654	280
855	1655	278
856	1656	276
857	1657	274
858	1658	272
859	1660	270
860	1661	268
861	1662	266
862	1664	264
863	1665	262
864	1667	260
865	1668	258
866	1669	256
867	1671	254
868	1672	252
869	1673	250
870	1674	248
871	1676	246
872	1677	244
873	1678	242
874	1680	240
875	1681	238
876	1683	236
877	1684	234
878	1685	232
879	1686	230
880	1688	228
881	1689	226
882	1690	224
883	1691	221
884	1692	219
885	1694	218
886	1696	216
887	1698	214
888	1699	212
889	1700	210
890	1701	208
891	1703	206
892	1704	204
893	1705	202
894	1707	200
895	1708	198
896	1709	196
897	1711	194
898	1713	192
899	1714	190
900	1715	188
901	1716	186
902	1718	184
903	1719	182
904	1720	180
905	1722	178
906	1723	176
907	1724	174
908	1726	172
909	1727	170
910	1729	168
911	1730	166
912	1731	165
913	1733	163
914	1734	161
915	1735	159
916	1736	157
917	1738	155
918	1739	153
919	1741	151
920	1742	149
921	1744	147
922	1745	145
923	1746	143
924	1748	141
925	1749	139
926	1750	137
927	1751	135
928	1753	133
929	1754	132
930	1755	130
931	1757	128
932	1758	126
933	1760	124
934	1761	122
935	1762	120
936	1764	118
937	1765	116
938	1766	114
939	1767	112
940	1769	110
941	1770	109
942	1772	107
943	1773	105
944	1775	103
945	1776	101
946	1777	99
947	1778	97
948	1780	95
949	1781	93
950	1783	91
951	1784	89
952	1785	88
953	1787	86
954	1788	84
955	1790	82
956	1791	80
957	1792	78
958	1793	76
959	1795	74
960	1796	72
961	1797	71
962	1799	69
963	1801	67
964	1802	65
965	1804	63
966	1805	61
967	1806	59
968	1808	57
969	1809	55
970	1810	54
971	1812	52
972	1813	50
973	1814	48
974	1816	46
975	1818	44
976	1819	42
977	1820	40
978	1822	39
979	1823	37
980	1824	35
981	1826	33
982	1827	31
983	1828	29
984	1830	27
985	1832	26
986	1833	24
987	1835	22
988	1836	20
989	1838	18
990	1839	16
991	1840	14
992	1841	12
993	1843	11
994	1844	9
995	1845	7
996	1847	5
997	1848	3
998	1850	1
999	1851	0
